1 Now these are the kings of the land whom the children of Israel overcame, taking as their heritage their land on the east side of Jordan, from the valley of the Arnon to Mount Hermon, and all the Arabah to the east:
2 Sihon, king of the Amorites, who was living in Heshbon, ruling from Aroer, which is on the edge of the valley of the Arnon, and the town in the middle of the valley, and half Gilead, as far as the river Jabbok, the limits of the children of Ammon;
3 And the Arabah to the sea of Chinneroth, to the east, and to the sea of the Arabah, that is the Salt Sea, to the east, the way to Beth-jeshimoth; and on the south, under the slopes of Pisgah:
4 And the land of Og, king of Bashan, of the rest of the Rephaim, who was living at Ashtaroth and at Edrei,
5 Ruling in the mountain of Hermon, and in Salecah, and in all Bashan, as far as the limits of the Geshurites and the Maacathites, and half Gilead, to the land of Sihon, king of Heshbon.
6 Moses, the servant of the Lord, and the children of Israel overcame them; and Moses, the servant of the Lord, gave their land for a heritage to the Reubenites, and the Gadites, and the half-tribe of Manasseh.
7 And these are the kings of the land whom Joshua and the children of Israel overcame on the west side of Jordan, from Baal-gad in the valley of Lebanon to Mount Halak, which goes up to Seir; and Joshua gave the land to the tribes of Israel for a heritage, in keeping with their divisions;
8 In the hill-country, and in the lowland, and in the Arabah, and on the mountain slopes, and in the waste land, and in the South; the Hittites, the Amorites, and the Canaanites, the Perizzites, the Hivites, and the Jebusites.
9 The king of Jericho, one; the king of Ai, which is near Beth-el, one;
10 The king of Jerusalem, one; the king of Hebron, one;
11 The king of Jarmuth, one; the king of Lachish, one;
12 The king of Eglon, one; the king of Gezer, one;
13 The king of Debir, one; the king of Geder, one;
14 The king of Hormah, one; the king of Arad, one;
15 The king of Libnah, one; the king of Adullam, one;
16 The king of Makkedah, one; the king of Beth-el, one;
17 The king of Tappuah, one; the king of Hepher, one;
18 The king of Aphek, one; the king of Lassharon, one;
19 The king of Madon, one; the king of Hazor, one;
20 The king of Shimron-meron, one; the king of Achshaph, one;
21 The king of Taanach, one; the king of Megiddo, one;
22 The king of Kedesh, one; the king of Jokneam in Carmel, one;
23 The king of Dor on the hill of Dor, one; the king of Goiim in Gilgal, one;
24 The king of Tirzah, one; all the kings together were thirty-one.
