1 And David and the commanders of the army set apart for the service the sons of Asaph, of Heman, and of Jeduthun, who prophesied with stringed instruments, with harps, and with cymbals. And their inventory of the men of the work and for their duty was: 
2 for the sons of Asaph: Zakkur, Joseph, Nethaniah, and Asarelah, sons of Asaph, under the hand of Asaph, who prophesied under the hands of the king. 
3 Of Jeduthun, the sons of Jeduthun: Gedaliah, Zeri, Jeshaiah, Heshabiah, and Mattithiah, six, under the hands of their father Jeduthun, who prophesied with the stringed instrument with thanksgiving and praise to Yahweh. 
4 Of Heman, the sons of Heman: Bukkiah, Mattaniah, Uzziel, Shebuel and Jerimoth, Hananiah, Hanani, Eliathah, Giddalti and Romamti-ezer, Joshbekashah, Mallothi, Hothir, Mahazioth. 
5 All these were sons to Heman, the seer of the king, according to the words of God to raise a horn. And God had given to Heman fourteen sons and three daughters. 
6 All these were under the direction of their father in the music of the house of Yahweh, with cymbals, harps, and stringed instruments for the service of the house of God. Asaph, Jeduthun, and Heman were under the direction of the king. 
7 And their number, along with their brothers, trained singers, all the skilled people for Yahweh, were two hundred and eighty-eight. 
8 And they cast lots for responsibilities on the principle of small and great alike, teacher with student.
9 And the first lot for Asaph went out to Joseph; the second to Gedaliahu; he and his brothers and his twelve sons. 
10 The third, Zakkur, his sons and his brothers, twelve; 
11 the fourth to Izri, his sons and his brothers, twelve; 
12 the fifth, Nethaniah, his sons and his brothers, twelve; 
13 the sixth, Bukkiah, his sons and his brothers, twelve; 
14 the seventh, Jesarelah, his sons and his brothers, twelve; 
15 the eighth, Jeshaiah, his sons and his brothers, twelve; 
16 the ninth, Mattaniah, his sons and his brothers, twelve; 
17 the tenth, Shimei, his sons and his brothers, twelve; 
18 eleventh, Azarel, his sons and his brothers, twelve; 
19 the twelfth to Hashabiah, his sons and his brothers, twelve; 
20 to the thirteenth, Shubael, his sons and his brothers, twelve; 
21 to the fourteenth, Mattithiah, his sons and his brothers, twelve; 
22 to the fifteenth, to Jeremoth, his sons and his brothers, twelve; 
23 to the sixteenth, to Hananiah, his sons and his brothers, twelve; 
24 to the seventeenth, to Joshbekashah, his sons and his brothers, twelve; 
25 to the eighteenth, to Hanani, his sons and his brothers, twelve; 
26 to the nineteenth, to Mallothi, his sons and his brothers, twelve; 
27 to the twentieth, to Eliathah, his sons and his brothers, twelve; 
28 to the twenty-first, to Hothir, his sons and his brothers, twelve; 
29 to the twenty-second, to Giddalti, his sons and his brothers, twelve; 
30 to the twenty-third, to Mahazioth, his sons and his brothers, twelve; 
31 to the twenty-fourth, to Romamti-ezer, his sons and his brothers, twelve.
