1 And David and the heads of the host separate for service, of the sons of Asaph, and Heman, and Jeduthun, who are prophesying with harps, with psalteries, and with cymbals, and the number of the workmen is according to their service.
2 Of sons of Asaph: Zaccur, and Joseph, and Nethaniah, and Asharelah, sons of Asaph,  by the side of Asaph, who is prophesying by the side of the king.
3 Of Jeduthun: sons of Jeduthun, Gedaliah, and Zeri, and Jeshaiah, Hashabiah, and Mattithiah, Shisshah,  by the side of their father Jeduthun; with a harp he is prophesying, for giving of thanks and of praise to Jehovah.
4 Of Heman: sons of Heman: Bukkiah, Mattaniah, Uzziel, Shebuel, and Jerimoth, Hananiah, Hanani, Eliathah, Giddalti, and Romamti-Ezer, Joshbekashah, Mallothi, Hothir, Mahazioth;
5 all these  sons of Heman -- seer of the king in the things of God -- to lift up a horn; and God giveth to Heman fourteen sons and three daughters.
6 All these  by the side of their father in the song of the house of Jehovah, with cymbals, psalteries, and harps, for the service of the house of God; by the side of the king  Asaph, and Jeduthun, and Heman.
7 And their number, with their brethren -- taught in the song of Jehovah, all who are intelligent -- is two hundred, eighty and eight.
8 And they cause to fall lots -- charge over-against , as well the small as the great, the intelligent with the learner.
9 And the first lot goeth out for Asaph to Joseph;  Gedaliah the second; he, and his brethren and his sons, twelve;
10 the third  Zaccur, his sons and his brethren, twelve;
11 the fourth to Izri, his sons and his brethren, twelve;
12 the fifth  Nethaniah, his sons and his brethren, twelve;
13 the sixth  Bukkiah, his sons and his brethren, twelve;
14 the seventh  Jesharelah, his sons and his brethren, twelve;
15 the eighth  Jeshaiah, his sons and his brethren, twelve;
16 the ninth  Mattaniah, his sons and his brethren, twelve;
17 the tenth  Shimei, his sons and his brethren, twelve:
18 eleventh  Azareel, his sons and his brethren, twelve;
19 the twelfth  Hashabiah, his sons and his brethren, twelve;
20 at the thirteenth  Shubael, his sons and his brethren, twelve;
21 at the fourteenth  Mattithiah, his sons and his brethren, twelve;
22 at the fifteenth  Jeremoth, his sons and his brethren, twelve;
23 at the sixteenth  Hananiah, his sons and his brethren, twelve;
24 at the seventeenth  Joshbekashah, his sons and his brethren, twelve;
25 at the eighteenth  Hanani, his sons and his brethren, twelve;
26 at the nineteenth  Mallothi, his sons and his brethren, twelve;
27 at the twentieth  Eliathah, his sons and his brethren, twelve;
28 at the one and twentieth  Hothir, his sons and his brethren, twelve;
29 at the two and twentieth  Giddalti, his sons and his brethren, twelve;
30 at the three and twentieth  Mahazioth, his sons and his brethren, twelve;
31 at the four and twentieth  Romamti-Ezer, his sons and his brethren, twelve.
