Model,Trained,TestedOn,BLEU,PINC
MOSES,public->ASV,BBE->ASV,29.82,35.91
MOSES,KJV->ASV,BBE->ASV,23.34,6.76
MOSES,BBE->ASV,BBE->ASV,31.28,47.03
Seq2Seq,All->All,BBE->ASV,28.91,56.88
Seq2Seq,public->ASV,BBE->ASV,29.38,50.23
Seq2Seq,public->public,BBE->ASV,30.17,56.8
MOSES,public->ASV,KJV->ASV,71.16,16.84
MOSES,KJV->ASV,KJV->ASV,76.77,9.32
MOSES,BBE->ASV,KJV->ASV,67.88,15.25
Seq2Seq,All->All,KJV->ASV,57.06,34.34
Seq2Seq,public->ASV,KJV->ASV,65.61,24.68
Seq2Seq,public->public,KJV->ASV,62.84,28.54
MOSES,public->ASV,public->ASV,46.87,28.67
MOSES,KJV->ASV,public->ASV,43.01,6.31
MOSES,BBE->ASV,public->ASV,42.4,24.34
Seq2Seq,All->All,public->ASV,42.28,49.54
Seq2Seq,public->ASV,public->ASV,46,42.22
Seq2Seq,public->public,public->ASV,45.65,46.47
MOSES,public->BBE,public->BBE,30.03,56.49
MOSES,YLT->BBE,public->BBE,25.63,54.68
Seq2Seq,All->All,public->BBE,28.55,65.39
Seq2Seq,public->BBE,public->BBE,21.66,74.95
Seq2Seq,public->public,public->BBE,29.71,64.54
MOSES,public->BBE,YLT->BBE,23.53,62.08
MOSES,YLT->BBE,YLT->BBE,24.01,66.47
Seq2Seq,All->All,YLT->BBE,23.87,72.17
Seq2Seq,public->BBE,YLT->BBE,23.12,72.34
Seq2Seq,public->public,YLT->BBE,24.94,72.51
